Year,State,Rel_Participation,Rel_F_Participation
2024,Australian Capital Territory,79.62496676,14.85631897
2024,New South Wales,96.78573912,14.16021147
2024,Northern Territory,87.23222525,8.556590176
2024,Queensland,52.14396218,6.723367738
2024,South Australia,67.11574762,4.459966055
2024,Tasmania,54.3510559,9.119328006
2024,Victoria,55.87179725,3.875193538
2024,Western Australia,58.70374782,4.214130463
2023,Australian Capital Territory,79.25249862,15.66981565
2023,New South Wales,85.70870846,12.34323543
2023,Northern Territory,73.5115361,5.769015563
2023,Queensland,48.65696869,5.662854329
2023,South Australia,61.06726202,4.745750391
2023,Tasmania,51.907477,9.132483708
2023,Victoria,51.61698736,3.294546719
2023,Western Australia,55.60164308,3.27949546
2022,Australian Capital Territory,75.75240463,15.3389443
2022,New South Wales,71.78285993,10.97004761
2022,Northern Territory,63.62076665,5.295854975
2022,Queensland,50.09896445,5.295463109
2022,South Australia,53.81029211,3.933839333
2022,Tasmania,48.90615216,8.963220969
2022,Victoria,48.74011159,2.671036558
2022,Western Australia,53.72029034,3.674208661
2021,Australian Capital Territory,76.10223572,16.87700793
2021,New South Wales,72.49351581,12.13457045
2021,Northern Territory,65.74451098,4.251497006
2021,Queensland,48.12929265,5.18299048
2021,South Australia,47.60932804,3.765822067
2021,Tasmania,55.54687514,8.704216401
2021,Victoria,38.2566747,2.756363717
2021,Western Australia,58.01920933,3.647529711
2020,Australian Capital Territory,75.06757511,17.45560147
2020,New South Wales,60.76992451,10.56101207
2020,Northern Territory,49.74194876,3.898006206
2020,Queensland,35.48385915,3.074071881
2020,South Australia,42.74249184,2.906079306
2020,Tasmania,40.6046832,7.451755799
2020,Victoria,32.55484267,2.032831369
2020,Western Australia,52.87687391,4.002658176
2019,Australian Capital Territory,90.32927746,17.55071354
2019,New South Wales,121.6514693,10.84385328
2019,Northern Territory,39.5226897,3.842201671
2019,Queensland,36.42191682,3.516941694
2019,South Australia,49.75018663,3.855692867
2019,Tasmania,47.90725413,8.181226732
2019,Victoria,69.28687946,3.573417501
2019,Western Australia,60.00411336,2.80236641
2018,Australian Capital Territory,91.43416953,15.8186267
2018,New South Wales,129.1630828,10.52018826
2018,Northern Territory,34.34043591,4.432335719
2018,Queensland,34.30461986,3.470569515
2018,South Australia,39.70746961,2.650771908
2018,Tasmania,33.69513765,6.499953032
2018,Victoria,54.44669849,2.458912032
2018,Western Australia,57.96114708,2.941127384
