Year,State,Sex,Participants
2024,Australian Capital Territory,Male,31176
2024,New South Wales,Male,705720
2024,Northern Territory,Male,20633
2024,Queensland,Male,255221
2024,South Australia,Male,118499
2024,Tasmania,Male,26030
2024,Victoria,Male,364374
2024,Western Australia,Male,163981
2023,Australian Capital Territory,Male,30193
2023,New South Wales,Male,619009
2023,Northern Territory,Male,17555
2023,Queensland,Male,237176
2023,South Australia,Male,105374
2023,Tasmania,Male,24562
2023,Victoria,Male,332510
2023,Western Australia,Male,153704
2022,Australian Capital Territory,Male,28145
2022,New South Wales,Male,502560
2022,Northern Territory,Male,14890
2022,Queensland,Male,240894
2022,South Australia,Male,91782
2022,Tasmania,Male,22901
2022,Victoria,Male,308681
2022,Western Australia,Male,142107
2021,Australian Capital Territory,Male,27007
2021,New South Wales,Male,489937
2021,Northern Territory,Male,15404
2021,Queensland,Male,225454
2021,South Australia,Male,79262
2021,Tasmania,Male,26682
2021,Victoria,Male,232705
2021,Western Australia,Male,150242
2020,Australian Capital Territory,Male,25790
2020,New South Wales,Male,406406
2020,Northern Territory,Male,11361
2020,Queensland,Male,168023
2020,South Australia,Male,71487
2020,Tasmania,Male,18628
2020,Victoria,Male,200444
2020,Western Australia,Male,133338
2019,Australian Capital Territory,Male,32042
2019,New South Wales,Male,896252
2019,Northern Territory,Male,8785
2019,Queensland,Male,168794
2019,South Australia,Male,81643
2019,Tasmania,Male,21982
2019,Victoria,Male,433055
2019,Western Australia,Male,153804
2018,Australian Capital Territory,Male,32572
2018,New South Wales,Male,949566
2018,Northern Territory,Male,7355
2018,Queensland,Male,155602
2018,South Australia,Male,65061
2018,Tasmania,Male,14765
2018,Victoria,Male,336865
2018,Western Australia,Male,145055
2024,Australian Capital Territory,Female,7151
2024,New South Wales,Female,120945
2024,Northern Territory,Female,2244
2024,Queensland,Female,37779
2024,South Australia,Female,8435
2024,Tasmania,Female,5248
2024,Victoria,Female,27156
2024,Western Australia,Female,12682
2023,Australian Capital Territory,Female,7441
2023,New South Wales,Female,104144
2023,Northern Territory,Female,1495
2023,Queensland,Female,31239
2023,South Australia,Female,8879
2023,Tasmania,Female,5244
2023,Victoria,Female,22670
2023,Western Australia,Female,9634
2022,Australian Capital Territory,Female,7146
2022,New South Wales,Female,90657
2022,Northern Territory,Female,1352
2022,Queensland,Female,28472
2022,South Australia,Female,7239
2022,Tasmania,Female,5139
2022,Victoria,Female,17897
2022,Western Australia,Female,10433
2021,Australian Capital Territory,Female,7696
2021,New South Wales,Female,98497
2021,Northern Territory,Female,1065
2021,Queensland,Female,27209
2021,South Australia,Female,6808
2021,Tasmania,Female,4958
2021,Victoria,Female,18068
2021,Western Australia,Female,10079
2020,Australian Capital Territory,Female,7814
2020,New South Wales,Female,85484
2020,Northern Territory,Female,966
2020,Queensland,Female,15937
2020,South Australia,Female,5215
2020,Tasmania,Female,4187
2020,Victoria,Female,13350
2020,Western Australia,Female,10920
2019,Australian Capital Territory,Female,7727
2019,New South Wales,Female,87709
2019,Northern Territory,Female,946
2019,Queensland,Female,18041
2019,South Australia,Female,6859
2019,Tasmania,Female,4527
2019,Victoria,Female,23549
2019,Western Australia,Female,7535
2018,Australian Capital Territory,Female,6814
2018,New South Wales,Female,84199
2018,Northern Territory,Female,1090
2018,Queensland,Female,17514
2018,South Australia,Female,4654
2018,Tasmania,Female,3529
2018,Victoria,Female,15933
2018,Western Australia,Female,7754
2024,Australian Capital Territory,Total,38327
2024,New South Wales,Total,826665
2024,Northern Territory,Total,22877
2024,Queensland,Total,293000
2024,South Australia,Total,126934
2024,Tasmania,Total,31278
2024,Victoria,Total,391530
2024,Western Australia,Total,176663
2023,Australian Capital Territory,Total,37634
2023,New South Wales,Total,723153
2023,Northern Territory,Total,19050
2023,Queensland,Total,268415
2023,South Australia,Total,114253
2023,Tasmania,Total,29806
2023,Victoria,Total,355180
2023,Western Australia,Total,163338
2022,Australian Capital Territory,Total,35291
2022,New South Wales,Total,593217
2022,Northern Territory,Total,16242
2022,Queensland,Total,269366
2022,South Australia,Total,99021
2022,Tasmania,Total,28040
2022,Victoria,Total,326578
2022,Western Australia,Total,152540
2021,Australian Capital Territory,Total,34703
2021,New South Wales,Total,588434
2021,Northern Territory,Total,16469
2021,Queensland,Total,252663
2021,South Australia,Total,86070
2021,Tasmania,Total,31640
2021,Victoria,Total,250773
2021,Western Australia,Total,160321
2020,Australian Capital Territory,Total,33604
2020,New South Wales,Total,491890
2020,Northern Territory,Total,12327
2020,Queensland,Total,183960
2020,South Australia,Total,76702
2020,Tasmania,Total,22815
2020,Victoria,Total,213794
2020,Western Australia,Total,144258
2019,Australian Capital Territory,Total,39769
2019,New South Wales,Total,983961
2019,Northern Territory,Total,9731
2019,Queensland,Total,186835
2019,South Australia,Total,88502
2019,Tasmania,Total,26509
2019,Victoria,Total,456604
2019,Western Australia,Total,161339
2018,Australian Capital Territory,Total,39386
2018,New South Wales,Total,1033765
2018,Northern Territory,Total,8445
2018,Queensland,Total,173116
2018,South Australia,Total,69715
2018,Tasmania,Total,18294
2018,Victoria,Total,352798
2018,Western Australia,Total,152809
